Name,Address,District,Assignmode,Primaryormiddle,Quality,WGS84lat,WGS84lon,Correspondmiddle,Correspondmiddle_quality,Correspondmiddle_promoterate
北京市金盏学校,北京市朝阳区金盏大街1号,Chaoyang,Nineyears,primary,5,40.00205845,116.5615267,北京市金盏学校,5,1
北京市铁路第二中学,北京市西城区月坛西街5号,Xicheng,None,middle,3,39.91390822,116.342938,None,None,0
北京市陈经纶中学,北京市朝阳区朝外大街38号,Chaoyang,None,middle,2,39.92063099,116.4415931,None,None,0
北京市陈经纶中学,北京市朝阳区朝外大街38号,Chaoyang,Nineyears,primary,3,39.92063099,116.4415931,北京市陈经纶中学,2,1
北京市陈经纶中学分校,北京市朝阳区利泽西街4号院,Chaoyang,None,middle,5,40.00511811,116.4601585,None,None,0
北京市陈经纶中学分校,北京市朝阳区利泽西街4号院,Chaoyang,Nineyears,primary,5,40.00511811,116.4601585,北京市陈经纶中学分校,5,1
北京市陈经纶中学嘉铭分校,北京市朝阳区北苑路86号,Chaoyang,None,middle,3,40.00013397,116.4232074,None,None,0
北京市陈经纶中学嘉铭分校,北京市朝阳区北苑路86号,Chaoyang,Nineyears,primary,3,40.00013397,116.4232074,北京市陈经纶中学嘉铭分校,3,1
北京市陈经纶中学崇实分校,北京市朝阳区王四营乡官庄村,Chaoyang,None,middle,5,39.87744511,116.5021074,None,None,0
北京市陈经纶中学崇实分校,北京市朝阳区王四营乡官庄村,Chaoyang,Nineyears,primary,5,39.87744511,116.5021074,北京市陈经纶中学崇实分校,5,1
北京市高家园中学,北京市朝阳区高家园小区210号,Chaoyang,None,middle,5,39.97798093,116.4738182,None,None,0
北京市鲁迅中学,北京市西城区新文化街45号,Xicheng,None,middle,5,39.90289575,116.3650096,None,None,0
北京市黑庄户中学,北京市朝阳区黑庄户乡黑庄户商业街甲3号,Chaoyang,None,middle,5,39.85091422,116.5884882,None,None,0
北京市龙潭中学,北京市东城区板厂南里3号,Dongcheng,None,middle,5,39.8834338,116.4360075,None,None,0
北京师范大学三帆中学朝阳学校,北京市朝阳区南湖南路12号,Chaoyang,None,middle,5,39.99064991,116.4581636,None,None,0
北京师范大学三帆中学朝阳学校,北京市朝阳区南湖南路12号,Chaoyang,Nineyears,primary,5,39.99064991,116.4581636,北京师范大学三帆中学朝阳学校,5,1
北京师范大学奥林匹克花园实验小学,北京市朝阳区东坝京奥家园288号楼,Chaoyang,Random,primary,5,39.95849699,116.5407272,None,None,0
北京师范大学实验二龙路中学,北京市西城区大木仓胡同39号,Xicheng,None,middle,5,39.91068131,116.3619432,None,None,0
北京师范大学实验华夏女子中学,北京市西城区红莲中里12号,Xicheng,None,middle,5,39.88142623,116.3277623,None,None,0
北京师范大学实验小学,北京市海淀区新街口外大街19号,Haidian,Random,primary,2,39.9624779,116.3607085,None,None,0
北京师范大学朝阳附属中学,北京市朝阳区林萃西里8号,Chaoyang,None,middle,5,40.0087032,116.3660559,None,None,0
