unitprice,name,age,WGS84lat,WGS84lon,lift
121843.75,官书院,2002,39.94568261,116.4102499,FALSE
88272,民族大学南路11号院,1997,39.9456881,116.3111754,FALSE
91226,育树四条,1983,39.94576237,116.4172356,FALSE
139872,丽豪园,1999,39.9459199,116.381995,TRUE
101171,德胜门西大街64号,1983,39.94592626,116.3628421,TRUE
92041.6,德胜门西大街甲5号,1986,39.94602406,116.3597253,TRUE
108361.75,北官厅胡同2号院,1985,39.94605083,116.4203678,FALSE
103701,灵光胡同,1980,39.94610321,116.4000419,FALSE
123661,华冠丽景,2003,39.94612498,116.4195073,TRUE
101819.5,北无宿舍,1980,39.94616449,116.2985534,FALSE
125783.5,北官厅胡同甲二号院,1993,39.94619758,116.4210806,FALSE
88272,东直门北大街,1990,39.94624627,116.4272706,TRUE
74285.66667,汇景阁,1999,39.94630544,116.3004216,TRUE
101555,民族大学南路19号院,1991,39.94630882,116.3113387,TRUE
123218,永康胡同1号院,2002,39.94632082,116.4047995,FALSE
116255,藏经馆胡同15号院,1985,39.94635385,116.4122778,FALSE
110640,东直门内北小街8号院,2003,39.94638041,116.4201052,TRUE
52865,宝钞苑,2001,39.94644918,116.3928022,TRUE
143193,德胜世嘉,2002,39.94650333,116.3843789,TRUE
86508,高梁桥斜街乙40号院,1990,39.94655761,116.338855,FALSE
105533.4,中绦胡同甲2号院,1985,39.94655999,116.391839,FALSE
73822.42857,海云轩,2000,39.94673159,116.3528135,TRUE
112783.6333,万国城MOMA,2002,39.94690783,116.4322741,TRUE
64501,迈豪时代,2001,39.94692789,116.3495936,TRUE
91464,红联南村46号院,1992,39.94696252,116.3542069,TRUE
86225.5,交大东路56号院,1990,39.94706999,116.344058,TRUE
104487,西三环北路27号院,1984,39.9470959,116.302554,FALSE
68672,SOHO北京公馆,2008,39.94713429,116.4489325,TRUE
98007,西晴公寓,2000,39.94727274,116.351428,TRUE
106718,理工大学附中家属楼,1988,39.94753591,116.2976311,FALSE
98975.5,交大东路31号院,1998,39.94755591,116.3418825,TRUE
69100,新源南路,1984,39.94761414,116.4528935,TRUE
74414.66667,顺源里,1984,39.94765264,116.451444,TRUE
71680,东直门内北小街2号院,2003,39.9476701,116.4198687,TRUE
83468,香河园街,1990,39.94776994,116.4318074,TRUE
81754,红联南村,1984,39.94778901,116.3541309,FALSE
44760.33333,朝阳新城一区,2004,39.94785111,116.5487174,FALSE
47290.2,朝阳新城三区,2004,39.94785111,116.5487174,FALSE
46713.5,朝阳新城二区,2005,39.94785111,116.5487174,FALSE
48781,朝阳新城五区,2008,39.94785111,116.5487174,FALSE
46644,朝阳新城四区,2015,39.94785111,116.5487174,FALSE
76842,郦城果岭,2010,39.94790947,116.2640029,TRUE
113642.25,CLASS,2004,39.94801851,116.4431444,TRUE
53204,高杨树北里,1995,39.94806532,116.5447887,FALSE
100307.25,交大嘉园,2003,39.94810402,116.3387684,TRUE
75665,时代之光名苑,2001,39.94824799,116.3489795,TRUE
86859,红联村,1987,39.94829909,116.3533564,FALSE
98441.14286,郦城三区,2005,39.94851514,116.2646098,TRUE
114506,安定门东大街,1985,39.94851994,116.4231535,FALSE
82404,文慧园15号16公寓,2004,39.94876328,116.3572201,TRUE
72447.5,新源西里中街,1988,39.94889506,116.4454515,TRUE
83439,民族大学家属院,1985,39.9488983,116.3110194,TRUE
97451,民族大学附属中学家属楼,1995,39.9488983,116.3110194,TRUE
98537.57143,雍和家园一期,2003,39.94911048,116.4139424,TRUE
113174.6667,当代MOMA,2006,39.94917271,116.4315059,TRUE
146357,蓝星公寓,2003,39.94920032,116.3843181,FALSE
93838,法华寺小区,1989,39.94920171,116.3083284,TRUE
86107.66667,中景濠庭,2001,39.94930253,116.3930035,TRUE
76784.5,新源街,1983,39.94932662,116.4493124,TRUE
60880.66667,左家庄西街,1992,39.94933773,116.4340334,FALSE
90206.66667,安外西河沿,1983,39.94936688,116.3994424,TRUE
127176.9,安德馨居,2002,39.94941302,116.3773782,FALSE
103778,安外东河沿,1989,39.94955539,116.4037521,FALSE
80343,巷上嘉园,2005,39.94960073,116.3936713,TRUE
